Social Concept,Concept ID,# Artwork Matches,# Related Tags,Avg. Freq. of Related Tags,# CO Objects,# CO Actions,Top 10 Objects,Avg_Freq_Top_Objects,Top 10 Actions,Avg_Freq_Top_Actions
prayer , 5741 , 88 , 623 , 4.261637239165329 , 133 , 27 , woman man religious and ceremonial clothing and personal effects furnishings reading writing printed matter boy cross fine arts and music weapons , 21.8 , kneeling sitting standing hands clasped looking down reclining lying down carrying flying embracing , 10.4
persecution , 2470 , 82 , 534 , 4.689138576779026 , 80 , 21 , man woman clothing and personal effects figure miscellaneous reading writing printed matter money religious and ceremonial weapons fine arts and music , 13.4 , looking up watching shouting lying down standing fleeing recoiling kneeling flying hands clasped , 3.5
sadness , 5345 , 82 , 602 , 3.9269102990033224 , 141 , 19 , man woman reading writing printed matter clothing and personal effects postcard agriculture gardening & fishing wooded fine arts and music furnishings sea , 15.8 , standing sitting weeping reclining embracing talking kneeling watching head in hand/hands supporting , 5.4
vision , 1714 , 80 , 598 , 3.971571906354515 , 143 , 21 , man woman figure night sea weapons tree furnishings cloud religious and ceremonial , 12.8 , sleeping sitting kneeling standing flying reclining crouching looking up pointing recoiling , 5.9
consumerism , 4063 , 71 , 484 , 4.729338842975206 , 129 , 7 , woman reading writing printed matter clothing and personal effects furnishings food and drink domestic electrical appliances kitchen tools and machinery product packaging , 16.4 , smiling sitting crouching standing reclining lying down talking , 2.4285714285714284
poetry , 13022 , 70 , 233 , 3.6781115879828326 , 41 , 5 , man fine art and design named works woman wing cow vessels and containers landscape - non-specific clothing and personal effects hat river , 2.5 , reclining flying head in hand/hands sitting watching , 1.0
nationalism , 7913 , 69 , 355 , 5.622535211267605 , 76 , 10 , clothing and personal effects fine arts and music man furnishings wooded hill mountain religious and ceremonial sculpture woman , 8.5 , standing smiling flying crouching reclining carrying running lying down spread-eagled watching , 1.3
happiness , 940 , 67 , 553 , 4.023508137432188 , 140 , 25 , woman man clothing and personal effects fine arts and music hill child boy furnishings agriculture gardening & fishing instrument pipe , 16.6 , standing smiling sitting kneeling holding hands embracing reclining walking shouting talking , 6.1
mystery , 4771 , 67 , 487 , 3.4804928131416837 , 134 , 7 , furnishings clothing and personal effects night man shadow sea woman cloud heating and lighting fine arts and music , 8.9 , sleeping walking standing embracing reclining flying carrying , 2.7142857142857144
fashion , 6930 , 67 , 371 , 4.318059299191375 , 105 , 10 , clothing and personal effects woman man reading writing printed matter hat jacket fine arts and music make-up furnishings poster , 17.6 , standing sitting watching walking smiling running urinating kneeling crouching looking down , 3.7
mourning , 2928 , 65 , 545 , 3.913761467889908 , 132 , 17 , woman man religious and ceremonial fine arts and music furnishings clothing and personal effects sculpture gravestone / tomb wooded vessels and containers , 17.6 , sitting standing head in hand/hands weeping lying down embracing reclining kneeling supporting flying , 5.5
poverty , 1306 , 64 , 516 , 4.383720930232558 , 122 , 19 , man woman clothing and personal effects domestic tools and machinery refuse wood furnishings vessels and containers boy , 16.7 , sitting standing watching carrying crouching sleeping walking lying down protecting talking , 3.7
shock , 1416 , 62 , 538 , 3.466542750929368 , 118 , 22 , man woman clothing and personal effects furnishings fine arts and music religious and ceremonial reading writing printed matter wooded man old heating and lighting , 14.9 , kneeling recoiling sitting standing watching reclining pointing fleeing flying hand/hands raised , 5.8
spirituality , 3672 , 62 , 318 , 3.4150943396226414 , 66 , 11 , man religious and ceremonial woman wing male figure clothing and personal effects star fine arts and music female , 4.9 , standing lying down watching sitting hand/hands raised kneeling floating sleeping flying leg/legs raised , 1.6
political protest , 5339 , 62 , 402 , 4.579601990049751 , 58 , 11 , miscellaneous money man reading writing printed matter woman clothing and personal effects weapons poster tools and machinery scientific and measuring , 11.3 , standing holding hands protecting running lying down walking fleeing recoiling looking down feeding , 1.4
worship , 5750 , 62 , 497 , 3.919517102615694 , 103 , 19 , man woman religious and ceremonial fine arts and music figure reading writing printed matter furnishings boy girl child , 14.0 , kneeling sitting standing recoiling crouching watching looking up washing legs crossed walking , 5.4
prejudice , 5364 , 58 , 306 , 5.284313725490196 , 46 , 6 , reading writing printed matter poster man woman fine art and design named works clothing and personal effects food and drink furnishings fine arts and music miscellaneous , 11.5 , carrying watching fleeing kneeling sitting spread-eagled , 1.5
energy , 572 , 57 , 308 , 3.6103896103896105 , 63 , 5 , figure tools and machinery man clothing and personal effects electrical appliances reading writing printed matter furnishings miscellaneous woman vessels and containers , 4.0 , standing crouching walking running flying , 1.2
creativity , 6767 , 56 , 440 , 3.202272727272727 , 93 , 14 , man fine arts and music woman furnishings tools and machinery figure table weapons clothing and personal effects vessels and containers , 8.2 , sitting standing flying lying down sleeping smiling walking kneeling running legs crossed , 1.7
ecology , 1308 , 55 , 358 , 3.804469273743017 , 86 , 3 , reading writing printed matter poster vessels and containers man beach figure clothing and personal effects fine art and design named works tree hat , 6.9 , talking death sleeping , 1.6666666666666667
desolation , 15753 , 55 , 391 , 4.0076726342711 , 80 , 8 , man dusk clothing and personal effects woman reading writing printed matter cloud miscellaneous postcard hill coat , 6.8 , crouching sitting pointing lying down running walking urinating standing , 1.25
morality , 554 , 52 , 578 , 3.342560553633218 , 122 , 18 , man woman clothing and personal effects fine art and design named works furnishings reading writing printed matter fine arts and music boy kitchen table , 16.2 , talking sitting standing watching embracing kneeling smiling crouching weeping holding hands , 4.4
despair , 1817 , 52 , 576 , 2.9565972222222223 , 112 , 19 , man woman clothing and personal effects weapons furnishings reading writing printed matter religious and ceremonial rocky sword fine art and design named works , 11.7 , sitting head in hand/hands weeping kneeling holding hands flying pointing standing watching lying down , 3.5
political belief , 4438 , 52 , 338 , 3.964497041420118 , 55 , 11 , reading writing printed matter poster man clothing and personal effects hat woman furnishings table religious and ceremonial flag - non-specific , 12.6 , talking sitting supporting walking embracing shouting standing kneeling marching carrying , 1.6
torture , 1787 , 51 , 364 , 5.524725274725275 , 73 , 11 , man reading writing printed matter fine arts and music newspaper 'L'Osservatore Romano' woman fine art and design named works male female print clothing and personal effects , 18.4 , sitting screaming protecting standing feeding hands clasped roaring talking running fleeing , 1.6
philosophy , 5349 , 51 , 145 , 4.76551724137931 , 35 , 3 , reading writing printed matter tools and machinery machinery toys and models man vessels and containers book - non-specific bottle fine arts and music woman , 8.6 , standing walking sitting , 1.6666666666666667
time , 4312 , 50 , 343 , 3.075801749271137 , 93 , 7 , scientific and measuring woman furnishings clothing and personal effects man cloud fine arts and music clock reading writing printed matter sea , 5.3 , standing sitting flying holding hands feeding looking down lying down , 1.5714285714285714
tenderness , 2205 , 49 , 352 , 3.7670454545454546 , 75 , 24 , woman man girl furnishings clothing and personal effects religious and ceremonial child boy vessels and containers grass , 10.5 , embracing sitting standing kneeling reclining sleeping smiling holding hands washing watching , 5.7
execution , 5052 , 49 , 467 , 3.3683083511777303 , 88 , 16 , man woman miscellaneous clothing and personal effects weapons female reading writing printed matter religious and ceremonial rocky night , 10.4 , standing lying down kneeling screaming sitting flying watching embracing reclining restraining , 2.4
memorial , 1755 , 48 , 393 , 3.2111959287531806 , 72 , 8 , man woman clothing and personal effects make-up religious and ceremonial fine arts and music coast sea male scientific and measuring , 7.7 , standing flying pointing sitting kneeling walking embracing supporting , 1.25
pun , 2438 , 48 , 341 , 2.8504398826979473 , 88 , 11 , food and drink clothing and personal effects woman vessels and containers furnishings fine arts and music reading writing printed matter underwear religious and ceremonial sports and games , 5.7 , leaping leg/legs raised marching sitting standing walking fleeing smiling reclining lying down , 1.0
murder , 2497 , 47 , 392 , 3.943877551020408 , 68 , 18 , man reading writing printed matter newspaper - non-specific woman furnishings weapons clothing and personal effects figure male rocky , 10.6 , standing lying down head in hand/hands looking down recoiling embracing kneeling fleeing reclining washing , 2.2
pollution , 828 , 46 , 297 , 4.198653198653199 , 80 , 2 , heathland figure domestic refuse wooded beach vessels and containers flower bush smoke , 8.4 , death washing , 1.5
slavery , 3991 , 46 , 254 , 4.0 , 53 , 5 , religious and ceremonial man woman clothing and personal effects sea fine arts and music figure armour fine art and design named works cloud , 6.5 , looking up embracing standing flying holding hands , 1.0
homosexuality , 3527 , 44 , 362 , 3.5801104972375692 , 61 , 20 , man furnishings male clothing and personal effects reading writing printed matter bed poster tools and machinery miscellaneous chair , 10.0 , standing reclining smiling washing talking embracing sitting supporting urinating kissing , 2.8
procession , 5743 , 44 , 275 , 4.887272727272728 , 55 , 14 , man woman figure religious and ceremonial hill wooded horse cross heating and lighting fine arts and music , 11.1 , walking kneeling carrying standing waving weeping head in hand/hands reclining holding hands sitting , 2.0
frustration , 3136 , 43 , 277 , 4.516245487364621 , 63 , 11 , reading writing printed matter poster man woman clothing and personal effects grass food and drink female vessels and containers fine arts and music , 9.9 , flying supporting sitting carrying urinating shouting weeping crouching hands clasped kneeling , 1.0
nostalgia , 6124 , 43 , 407 , 3.5503685503685505 , 86 , 13 , wooded woman man tree river vessels and containers hill clothing and personal effects furnishings reading writing printed matter , 8.3 , standing sitting carrying talking weeping reclining drinking looking down embracing flying , 1.4
flirtation , 553 , 41 , 439 , 3.437357630979499 , 108 , 15 , man woman clothing and personal effects furnishings vessels and containers wooded sea hat hill fan , 14.9 , sitting standing embracing talking holding hands watching smiling kissing reclining hand/hands on hip , 6.0
youth , 6728 , 41 , 336 , 3.6458333333333335 , 72 , 12 , man clothing and personal effects furnishings woman curtain girl chair grass male shirt , 10.1 , sitting standing crouching kneeling smiling carrying reclining protecting lying down talking , 2.9
education , 12609 , 41 , 225 , 4.613333333333333 , 51 , 7 , girl reading writing printed matter furnishings desk chair boy book - non-specific man woman pen , 14.0 , sitting head in hand/hands standing pointing talking walking holding hands , 5.285714285714286
freedom , 232 , 40 , 385 , 2.9064935064935065 , 59 , 10 , man woman reading writing printed matter clothing and personal effects fine art and design named works figure bird furnishings religious and ceremonial fine arts and music , 6.4 , watching looking up standing walking flying carrying holding hands pointing sitting crouching , 2.0
torture , 10217 , 38 , 300 , 4.75 , 62 , 9 , man male reading writing printed matter woman fine art and design named works fine arts and music tools and machinery female weapons newspaper 'L'Osservatore Romano' , 13.6 , shouting sitting embracing fleeing standing flying lying down sleeping watching , 1.8888888888888888
danger , 5719 , 37 , 346 , 2.9161849710982657 , 89 , 17 , sea man figure wave woman storm weapons reading writing printed matter rocky postcard , 7.4 , pulling running watching death supporting walking floating twisting flying lying down , 1.6
sensuality , 6738 , 37 , 229 , 3.7729257641921397 , 57 , 8 , woman furnishings female clothing and personal effects bed dragon moon star mud night , 8.7 , sitting reclining standing sleeping kneeling leg/legs raised washing looking up , 2.375
revolution , 8806 , 36 , 270 , 3.925925925925926 , 50 , 8 , man weapons gun rifle clothing and personal effects reading writing printed matter woman river weapon firing / explosion uniform fire , 7.3 , standing lying down walking flying crouching watching carrying pointing , 1.75
ephemerality , 5448 , 35 , 357 , 2.5014005602240896 , 103 , 5 , fine arts and music universe web fine art and design named works reading writing printed matter clothing and personal effects book - non-specific furnishings woman kitchen , 4.9 , lying down flying supporting kneeling looking up , 1.0
subconscious , 6780 , 34 , 212 , 3.6226415094339623 , 51 , 3 , moon star furnishings bed dragon mud night man clothing and personal effects woman , 6.5 , kneeling carrying looking up , 1.3333333333333333
