Social Concept,Concept ID,# Artwork Matches,# Related Tags,Avg. Freq. of Related Tags,# CO Objects,# CO Actions,Top 10 Objects,Avg_Freq_Top_Objects,Top 10 Actions,Avg_Freq_Top_Actions
peace , 13553 , 14 , 215 , 2.083720930232558 , 46 , 5 , woman man clothing and personal effects figure flower female mountain hill coast sea , 2.6 , flying sitting reclining pointing watching , 1.8
pessimism , 759 , 13 , 91 , 2.087912087912088 , 17 , 1 , man farmland moat reflection tree moon plant furnishings chair electrical appliances , 1.1 , sitting , 1.0
rape , 1966 , 13 , 140 , 2.6142857142857143 , 19 , 4 , woman man female male horse cloud storm elephant mountain rocky , 3.5 , crouching fleeing kneeling screaming , 1.5
transvestism , 6006 , 13 , 144 , 2.826388888888889 , 30 , 4 , man clothing and personal effects make-up wig furnishings woman fine art and design named works male tie bed , 4.7 , standing embracing sitting hand/hands on hip , 2.0
foolishness , 6764 , 13 , 197 , 2.238578680203046 , 58 , 11 , man woman clothing and personal effects fine arts and music man old hill furnishings wooded hat agriculture gardening & fishing , 4.4 , standing sitting watching talking weeping pointing flying smiling supporting kneeling , 2.1
serenity , 2520 , 12 , 209 , 1.6985645933014355 , 45 , 6 , woman fine arts and music figure female man heating and lighting lake reflection sea blossom , 2.4 , flying kneeling pointing weeping looking down standing , 1.0
suicide , 5147 , 12 , 228 , 1.9649122807017543 , 33 , 5 , man woman furnishings bed male reading writing printed matter clothing and personal effects fine art and design named works dove poppy , 3.1 , reclining lying down screaming standing talking , 1.4
pride , 6191 , 12 , 178 , 1.9213483146067416 , 36 , 9 , clothing and personal effects man woman hat pipe vessels and containers helmet female figure furnishings , 3.1 , standing talking looking down supporting watching sitting smiling looking up carrying , 1.3333333333333333
boredom , 7046 , 11 , 173 , 2.485549132947977 , 39 , 5 , man woman clothing and personal effects heating and lighting fine arts and music furnishings kitchen girl ornament cigar , 4.5 , standing head in hand/hands sitting embracing sleeping , 3.4
sublime , 2982 , 10 , 155 , 1.7419354838709677 , 34 , 2 , cloud storm man wooded coast sea smoke miscellaneous buoy heating and lighting , 1.4 , death leaping , 1.0
shamanism , 3026 , 10 , 130 , 1.7076923076923076 , 34 , 5 , female woman vessels and containers scientific and measuring man religious and ceremonial furnishings bag agriculture gardening & fishing male , 1.9 , spread-eagled walking standing crouching sleeping , 1.0
seduction , 3185 , 10 , 157 , 1.9363057324840764 , 34 , 8 , woman man female toys and models furnishings reading writing printed matter fine arts and music kitchen tools and machinery machinery , 3.2 , kneeling reclining standing crouching lying down sitting pleading talking , 1.375
wisdom , 6727 , 10 , 119 , 2.2184873949579833 , 23 , 10 , woman man hill fine arts and music agriculture gardening & fishing instrument panpipes instrument pipe sheep sunset man old , 3.0 , standing kneeling sitting lying down talking embracing holding hands flying pointing weeping , 1.5
infidelity , 3251 , 9 , 182 , 2.0824175824175826 , 36 , 14 , woman man reading writing printed matter book - non-specific furnishings female male girl fine art and design named works mirror , 3.9 , embracing watching kissing sitting flying lying down reclining sleeping carrying crouching , 1.6
haunting , 4320 , 9 , 136 , 1.7426470588235294 , 33 , 5 , figure man woman fine arts and music lake mountain valley water-lily hill mist , 1.7 , recoiling flying sitting fleeing screaming , 1.0
silence , 4484 , 9 , 146 , 1.5273972602739727 , 36 , 2 , furnishings man sunset man old woman reading writing printed matter book - non-specific religious and ceremonial crown medical , 1.4 , floating roaring , 1.0
virtue , 6766 , 9 , 139 , 1.8920863309352518 , 27 , 8 , man woman dog - non-specific clothing and personal effects reading writing printed matter religious and ceremonial blossom tools and machinery fine arts and music instrument lute , 2.6 , kneeling standing protecting flying talking rescuing carrying looking down , 1.5
sin , 10932 , 9 , 193 , 2.1191709844559585 , 43 , 11 , man woman female reading writing printed matter rocky clothing and personal effects cat weapons shield spear , 4.4 , restraining sitting standing pleading kneeling reclining flying embracing smiling hands clasped , 1.5
emigration / immigration , 17309 , 9 , 141 , 1.7092198581560283 , 26 , 8 , man woman clothing and personal effects furnishings chair vessels and containers basket suitcase child coast , 1.7 , sitting standing legs crossed hands clasped talking carrying embracing walking , 1.25
language , 6787 , 8 , 94 , 1.7872340425531914 , 17 , 3 , man scientific and measuring clock religious and ceremonial fine art and design named works electrical appliances television furnishings wallpaper fire , 1.3 , talking carrying crouching , 1.0
psychology , 11205 , 8 , 160 , 1.775 , 23 , 5 , clothing and personal effects reading writing printed matter woman mask postcard sunglasses female furnishings mirror reflection , 2.0 , sitting legs crossed looking down watching washing , 1.2
speed , 15754 , 8 , 126 , 1.992063492063492 , 28 , 1 , man clothing and personal effects mask scientific and measuring dog - non-specific figure woman cat décolletage reading writing printed matter , 1.9 , running , 2.0
robbery , 4429 , 7 , 174 , 1.6436781609195403 , 30 , 4 , man woman reading writing printed matter weapons clothing and personal effects vessels and containers box scroll fine arts and music tapestry , 2.1 , head in hand/hands carrying flying standing , 1.0
infinity , 6274 , 7 , 40 , 2.225 , 6 , 0 , sky fine art and design named works electrical appliances projector tools and machinery string , 1.0 ,  , 0
ritual , 16166 , 7 , 127 , 1.5590551181102361 , 30 , 2 , man clothing and personal effects woman vessels and containers earth tattoo religious and ceremonial chalice bowl heating and lighting , 1.4 , sitting standing , 1.0
uncertainty , 18245 , 7 , 89 , 2.449438202247191 , 15 , 3 , man vessels and containers bottle jar clothing and personal effects suit furnishings table tools and machinery ladder , 3.4 , standing carrying lying down , 3.3333333333333335
child abuse , 5355 , 6 , 77 , 1.7922077922077921 , 10 , 1 , girl man male furnishings animal/human bear boy woman weapons dagger / knife , 1.6 , screaming , 1.0
political power , 12443 , 6 , 130 , 1.5538461538461539 , 20 , 0 , man reading writing printed matter book - non-specific scientific and measuring document - non-specific quill pen heating and lighting globe furnishings table , 1.5 ,  , 0
strength , 16927 , 6 , 94 , 1.6702127659574468 , 15 , 5 , man clothing and personal effects woman figure male furnishings curtain jacket jumper suit , 1.7 , sitting crouching reclining standing walking , 1.2
transfiguration , 5391 , 5 , 122 , 1.639344262295082 , 19 , 3 , man woman dove scientific and measuring sundial sea poppy female religious and ceremonial cross , 1.9 , lying down standing flying , 1.0
enchantment , 8954 , 5 , 83 , 1.4457831325301205 , 21 , 1 , man beach sea cave forest palm female landscape - non-specific pig religious and ceremonial , 1.1 , standing , 1.0
narcissism , 15936 , 5 , 111 , 1.4594594594594594 , 23 , 6 , female woman clothing and personal effects reflection fine arts and music plinth swimming costume furnishings mirror dog - non-specific , 1.8 , watching washing sitting crouching head in hand/hands looking down , 1.0
survival , 17953 , 5 , 81 , 1.4691358024691359 , 20 , 0 , miscellaneous felt vessels and containers furnishings fine arts and music heating and lighting box agriculture gardening & fishing torch bag , 1.8 ,  , 0
unemployment , 13544 , 4 , 106 , 1.330188679245283 , 24 , 1 , toys and models clothing and personal effects leaf domestic tools and machinery electrical appliances television uniform figure hill , 1.2 , watching , 1.0
technology , 16446 , 4 , 80 , 1.3375 , 19 , 0 , electrical appliances kitchen toaster fine art and design named works furnishings desk table wallpaper television food and drink , 1.1 ,  , 0
regeneration , 18016 , 4 , 77 , 1.3506493506493507 , 13 , 0 , heating and lighting fire open palm electrical appliances vessels and containers box furnishings table tools and machinery wire , 1.0 ,  , 0
secrecy , 21821 , 4 , 56 , 1.6964285714285714 , 10 , 0 , fine art and design named works electrical appliances vessels and containers box food and drink meat vegetable - non-specific furnishings mirror table , 1.0 ,  , 0
illegitimacy , 2361 , 3 , 50 , 1.36 , 9 , 2 , woman clothing and personal effects male man furnishings mirror drapery tights figure , 1.2222222222222223 , smiling supporting , 1.0
hatred , 5149 , 3 , 94 , 1.2127659574468086 , 5 , 4 , man woman female dog - non-specific figure , 1.4 , hand/hands raised sitting standing screaming , 1.0
terrorism , 15740 , 3 , 60 , 1.2666666666666666 , 5 , 0 , clothing and personal effects man uniform figure ribbon , 1.2 ,  , 0
vitality , 17956 , 3 , 34 , 1.4705882352941178 , 3 , 0 , planet clothing and personal effects hat , 1.0 ,  , 0
disbelief , 1613 , 2 , 36 , 1.2777777777777777 , 1 , 2 , man , 2.0 , kneeling standing , 1.0
vandalism , 6353 , 2 , 86 , 1.1046511627906976 , 12 , 4 , religious and ceremonial man woman reading writing printed matter book - non-specific gravestone / tomb clothing and personal effects ring fine arts and music sculpture , 1.1 , kneeling looking down recoiling supporting , 1.0
triumph , 6709 , 2 , 79 , 1.0886075949367089 , 11 , 3 , child man woman furnishings chair religious and ceremonial flag - non-specific flag Union Flag wreath horse , 1.0 , carrying sitting standing , 1.0
treason , 15862 , 2 , 80 , 1.15 , 15 , 2 , man child girl woman clothing and personal effects helmet shirt weapons gun handgun shield , 1.1 , embracing standing , 1.0
meditation , 18096 , 2 , 38 , 1.236842105263158 , 6 , 3 , man female woman fine art and design named works fine arts and music sculpture classical , 1.0 , lying down looking down standing , 1.0
sanctuary , 6923 , 1 , 53 , 1.0 , 7 , 3 , boy man woman vessels and containers box weapons spear , 1.0 , embracing protecting talking , 1.0
investiture , 8979 , 1 , 18 , 1.0 , 5 , 2 , man clothing and personal effects hat weapons sword , 1.0 , kneeling watching , 1.0
hypocrisy , 9661 , 1 , 23 , 1.0 , 4 , 0 , clothing and personal effects cloak male man , 1.0 ,  , 0
sacrament , 15454 , 1 , 12 , 1.0 , 4 , 0 , religious and ceremonial chalice kitchen flower , 1.0 ,  , 0
exile , 15834 , 1 , 17 , 1.0 , 1 , 0 , man , 1.0 ,  , 0
pomposity , 17199 , 1 , 16 , 1.0 , 0 , 0 ,  , 1.0 ,  , 0
gratitude , 17838 , 1 , 23 , 1.0 , 2 , 2 , man woman , 1.0 , kneeling watching , 1.0
paranoia , 21388 , 1 , 7 , 1.0 , 0 , 0 ,  , 1.0 ,  , 0
